name,fmt,title,abstract,authors
Laura Schmidt,poster,Decoding the function of Nuclear Speckles in genome streamlining and expression regulation,"Nuclear Speckles (NS) are one of the most prominent condensates in the interphase nucleus. NS are suggested to play a role in RNA transcription, processing and export. However, it remains uncertain if NS are directly involved in either of these processes and at which developmental cell stage they form.  We identified SON and SRRM2 as the core proteins of NS, enabling us to induce a cell state devoid of NS and investigate their direct role in gene expression regulation. Upon removal of NS in somatic cells, we observe characteristic splicing defects in transcripts from speckle-associated chromatin domains, which are accompanied by significant downregulation of the corresponding genes.  The specialised mode of transcription from highly permissive chromatin in pluripotency raises the question whether NS equally contribute to gene regulation in stem cells. To address this, we aim to create a mouse embryonic stem cell line for targeted manipulation of NS through Son. Using this cell line model, we will test the hypothesis that differentiation induces speckle nucleation to streamline gene expression in mature cell types.","Michał Małszycki, Laura Katharina Schmidt, İbrahim Avşar Ilık, Tuğçe Aktaş"
Lion Raaz,poster,Mechanogenomics - how blood flow influences gene regulation in endothelial cells,,"Lion Raaz, Stefan Mundlos, Petra Knaus, Jerome Jatzlau"
Ludger Hartmann,,Dr,,
Ludovic Vallier,,Prof.,,
Lukas Behrens,,,,
Magdalena Schindler ,poster,Unravelling the molecular origin of wing formation in bats,"Evolution has resulted in extraordinary morphological adaptations, with the unique wing-forelimbs of bats representing one striking example. The bat wing is characterized by massively elongated digits as well as retained and expanded interdigital tissue. These phenotypic adaptations are thought to be driven by altering the expression of developmental genes through regulatory changes. However, linking changes in gene expression and regulation to the appearance of specific traits during evolution remains challenging.  Here, we address this by using an integrative approach that combines singe cell genomics with changes inregulatory landscapes of the developing bat wing which we then recapitulate in genetically engineered mice. Specifically, we characterize bat wing gene expression signatures by generating single-cell and bulk transcriptomic datasets from embryonic limbs of Seba’s short-tailed bat (Carollia perspicillata) and mice for comparisons at different developmental stages. While mouse and bat limbs overall share homologous cell-types, we find wing-forelimb specific cell populations linked to the interdigital tissue. In addition, though gene regulatory programs are largely conserved, we find differential gene expression increases as wing forelimbs diverge morphologically, pointing towards candidate genes for wing development. By integrating transcriptomic and epigenetic datasets, we identify putative regulatory elements potentially involved in modulating the observed species-specific gene expression changes. Finally, we mimic these species-specific changes in expression of selected candidates genes in the distal limb of genetically modified mice. This allows us to analyze how they influence not only limb cell types and their function but also overall limb morphology. Combined, this helps us to understand how evolution modifies genomes, gene regulation and development to originate new phenotypic traits.   ","Magdalena Schindler, Christian Feregrino, Silvia Aldrovandi, Baiwei Lo, Tobias Zehnder, Stefan Haas, Ariadna Morales, Michael Hiller, Dario Lupianez, Stefan Mundlos, Francisca Martinez Real"
Malgorzata Klemm,,,,
Manuela Scholze-Wittler,,,,
Mara Steiger,poster,MethyLYZR: Live tumor diagnosis from sparse epigenomic data,"Even though neuropathology has aimed for decades to achieve an intraoperative differential diagnosis among the roughly one hundred known brain tumor entities, accomplishing this within a clinically relevant timeframe has remained challenging.   Recent advances in third-generation sequencing technologies have brought this once-elusive goal within reach. However, established machine learning techniques suitable for this objective rely on paradigms such as feature selection, batch processing, and ad hoc classifier training, which are incompatible with diagnostic workflows that can be broadly applied in a clinical setting.  Here, we present MethyLYZR, a Naïve Bayesian framework enabling live classification of cancer epigenomes using fully tractable single-CpG resolution modeling and the inherent capability of incorporating prior clinical information while avoiding the need for feature selection or ad hoc model tuning. The model can be run in parallel to an ongoing Nanopore experiment with negligible computational cost, similar to long-read alignment algorithms, and provides clinically relevant and accurate cancer classification results within 15 minutes of sequencing (92% accuracy).   Compared to state-of-the-art methods, our algorithm can be trained on a personal computer in a few hours on hundreds of cancer classes that can be distinguished by their epigenomes. With MethyLYZR, only the time required for DNA extraction and the Nanopore sequencer's maximum parallel throughput remain limiting factors for even faster time-to-results.  We demonstrate the potential utility of the proposed framework not only for the neurosurgical intraoperative use case but also for other oncologic indications and cell-free DNA from liquid biopsies. ","Mara Steiger, Björn Brändl, Caroline Kubelt, Christian Rohrandt, Maximilian Evers, Bernhard Schuldt, Gaojianyong Wang, Derek Wong, Amy Lum, Stephen Yip, Romulas Smičius, Alexander Meissner, Ole Ammerpohl, Michael Synowitz, Helene Kretzmer, Franz-Josef Müller & Alena van Bömmel"
Maria Stefanova,poster,Multiscale structural role of TOP2 in chromatin organization.,"Spatial chromosome architecture is a key factor in eukaryotic gene regulation and genome stability, but how changes in DNA topology coordinate with the 3D chromosome organization remains poorly understood. Type II topoisomerases (TOP2s) resolve torsional stress accumulated during various cellular processes and are enriched at chromatin loop anchors and TAD boundaries, where, when trapped, can lead to genomic instability promoting the formation of oncogenic fusions. However, whether TOP2s function at these boundaries to relieve topological constraints associated with chromatin loop extrusion and/or participate in 3D spatial chromosome folding per se, remains unclear. Here we combine Hi-C, Micro-C, high-throughput imaging and GapRun, a novel method to profile positive supercoiling genome-wide, to assess the role of TOP2s in shaping chromosome organization throughout the cell cycle. Acute TOP2 depletion in human cells led to the emergence of new, large-scale contacts at the boundaries between active, positively supercoiled domains and lamina-associated domains (LADs) in the G1 phase of the cell cycle. This was accompanied by changes in gene expression, without affecting chromatin loop formation, but reducing loop strength. Our findings discriminate between the local, gene-level role of TOP2s in DNA topology and their effect on higher-order chromatin folding. ","Stefanova ME, Xie T, MC Longo G, Sayols Puig S, Sayed WE, Ing-Simmons E, Souto Melo U, Schöpflin R, Gothe H, Vaquerizas HM, Papantonis A, Roukos V, Mundlos S"
Maria Walther ,,,,
Mario Rubio-Chavarría,poster,A New Peak Caller for Sparse High-Resolution Genome-Occupancy Data.,"ABSTRACT  Understanding gene expression regulation in cells requires methods that determine the exact genomic location of RNA polymerase II and its regulators in the native chromatin environment. Recent technological advances led to systems-wide methods, such as native elongating transcript sequencing (NET-seq) [1], providing RNA polymerase occupancy profiles with single-nucleotide precision. To allow full use of the high-resolution occupancy data that is obtained by these new methods necessitates corresponding advanced computational tools. Specifically, peak callers are needed for the robust identification of the genomic nucleotide positions of local signal enrichment. Peak calling is particularly challenging in sparse data, a shared feature among high-resolution genome-wide technologies, as current algorithms often do not account for the excess of zeros. State-of-the-art methods for peak calling in sparse data involve non-parametric approaches [2] or ad-hoc workflows, which suffer from long processing times and lack of generalisation, respectively. To overcome these limitations, we are developing a software package for peak calling in sparse high-resolution occupancy data. Our package aims at 1) reducing computation time by using a parametric strategy and 2) providing a consistent software framework. In this work, we show the preliminary results of the package applied to single-nucleotide resolution occupancy data of RNA polymerase in human cells as obtained by HiS-NET-seq [3]. Our findings show that computation time can be significantly reduced while maintaining the performance of previous tools, demonstrating that a more efficient peak caller is not only necessary but also possible.   REFERENCES  1. Nascent transcript sequencing visualizes transcription at nucleotide resolution. Churchman, L. S. and Weissman, J. S.  2. Conserved DNA sequence features underlie pervasive RNA polymerase pausing. Gajos, M. et al.  3. High-sensitive nascent transcript sequencing reveals BRD4-specific control of widespread enhancer and target gene transcription. Bressin, A., Jasnovidova, O., Arnold, M. et al. ","Mario Rubio-Chavarría, Achim Tresch and Andreas Mayer."
Marlena Eichhorn,,,,
Marlies Künicke,,,,
Marta Couce Iglesias,poster,A kinetic model of gene expression in brain development and evolution,"How is time encoded in the products of gene expression in the brain? This critical question still needs to be answered despite the intense research on gene expression activity during neuronal development. It has been known since the 20th century that time is a central organizing feature of brain development, as the formation of neocortical layers in the mammalian brain is synchronized to the birthdate of its neurons. Despite this knowledge, most research has utilized snapshots of gene expression from bulk or single-cell RNA-seq and mass spectrometry analysis. We want to address this knowledge gap by recording the mRNA and protein synthesis and degradation timeline in vivo. We hypothesize that different transcription and translation kinetics guide the diversification and specification of neuronal lineages in the brain, within and between species: proteins being synthesized at a specific speed and time in a neuro progenitor will dictate its fate, its tissue position, morphology, connectivity, and function in the circuit.  We focus on an evolutionarily recent brain region, the dorsal pallium, in two species with evolutionarily divergent pallium structures: mouse and chicken.  Our novel approach exploits a methodological innovation: live embryo culture that enables kinetic pulse labelling of the transcriptome and proteome. This system grants us direct access to the developmental system over a time course as we are able to label mRNA and protein synthesis with metabolic analogs and subsequently image transcription and translation hot spots (via click chemistry) and calculate kinetic variations (via SLAM-seq and SLIAC-MS).  Interestingly, neurogenesis in the mouse dorsal pallium structure starts concomitantly with the vascularization of the tissue. We hypothesize that blood vessel development and blood- brain barrier (BBB) maturation, providing the neuronal precursors with amino acids and nucleotides, impacts transcription and translation kinetics and might be a key component of gene expression. We employed a whole tissue clearing method to visualize and quantify neocortical vascularization throughout neurogenic stages. Furthermore, we will gain an in- depth understanding of BBB development and its relationship with neuronal gene expression by analyzing endothelial cell (EC) metabolism and transport pathways using EC proteomic studies.   We   hypothesize   that   the   comparison   between   mouse   and   chicken   brain vascularization might yield important evolutionary insights.","Oliani E, Couce M, Llaó-Cid C, Brombacher N, Kraushar M."
Martin Vingron,,,,
Maryam Ghareghani,,,,
Mathurin Dorel,poster,A systems biology approach to discover B-cell Acute Lymphoblastic Leukemia vulnerabilities,"Over the past 5 years, the iPC European consortium has its aim to  generated data and models to improve treatment for pediatric cancers,  with a focus on Acute Lymphoblastic Leukemia (ALL), Ewing Sarcoma (ES),  Hepatoblastoma (HB), Medulloblastoma (MB) and Neuroblastoma (NB). Within  the iPC consortium, we generated CROPseq data for 7 cell lines (3 B-ALL,  3 ES, 1 HB) and CRISPR-drug dropout screen data for 5 cell lines (3  B-ALL, 1 ES, 1 HB) treated with 5 different drugs (olaparib, ceritinib,  venetoclax, ceralasertib and GSK-J4).  Our B-ALL cell lines panel covers common B-ALL alterations [Krentz2012,  Teachey2019]: 697 (TCF3-PBX1 fusion ), NALM6 (NRAS mutation) and REH  (ETV6-RUNX1 fusion). While B-ALL has a good prognosis, with remission  rates around 90% after first line treatment, this intervention mostly  includes aggressive chemotherapy which leads to complications later in  life [Inaba2013, Monit2023]. Targeted therapy is still rarely used in  B-ALL but holds a promise to reduce post-treatment complications by  decreasing chemotherapy intensity while improving treatment efficacy  [Chalandon2015].  CROPseq [Datlinger2017] couples CRISPR knock-out and single cell RNA  sequencing to measure changes in the transcriptome after multiple  perturbations targeting dozens of genes simultaneously. Using the single  cell resolution, we can also extract phenotypic readouts such as  proliferation and cell cycle phase distribution to analyse the effect of  the perturbations. Harnessing CROPseq data augmented by knowledge  extracted from the literature, we built cell-line specific signaling  networks to understand the effects of lineage-specific knock-out  alterations on the network responses.  CRISPR-drug dropout screens consist of sequencing sgRNAs integrated in  the genome of cells expressing Cas9 after several weeks of clonal  selection under drug treatment [Sanson2018, Ramkumar2020]. Given that  the cells express Cas9, the presence of the sgRNA indicates that the  targeted gene was knocked-out; the sgRNA abundance provides an estimate  of the number of KO cells in the population. This readout contributes to  elucidate the mechanisms of action pertaining to targeted therapies in  B-ALL, such as the discovery of several synergistic drug-gene  interactions leading to drug resistance or vulnerability.  In combining those datasets, we hope to provide a holistic understanding  of the spectrum of B-ALL regulation as a foundation for designing  pre-clinical personalised targeted therapies for B-ALL.","Mathurin Dorel, Maia Pesic, Daniela Balzereit, Alexander Kovascovics, 
Cornelia Eckert, Marie-Laure Yaspo"
Matthew Kraushar,talk,I will present 5 min on our lab,Dmitrii already was accepted for a 20min talk,
Matthias Lienhard,,,,
Maximilian Stötzel,poster,TET activity safeguards pluripotency throughout embryonic dormancy,"Dormancy is an essential biological process for the propagation of many life forms through generations and stressful conditions. Early embryos of many mammals are preservable for weeks to months within the uterus in a dormant state called diapause, which can be induced in vitro through mTOR inhibition. Cellular strategies that safeguard original cell identity within the silent genomic landscape of dormancy are not known.  We show here that the protection of cis-regulatory elements from silencing is key to maintaining pluripotency in the dormant state. We reveal a TET - transcription factor (TF) axis, in which TET-mediated DNA demethylation and recruitment of methylation-sensitive TFs drive transcriptionally-inert chromatin adaptations during dormancy transition. Perturbation of TET activity compromises pluripotency and survival of embryos under dormancy, whereas its enhancement improves survival rates. Our results reveal an essential mechanism for propagating the cellular identity of dormant cells; with implications for regeneration and disease.","Maximilian Stötzel1,2, Chieh-Yu Cheng1,2, Ibrahim IIik3, Abhishek Sampath Kumar2,4, Persia Akbari Omgba1,5, Vera A. van der Weijden1, Yufei Zhang6, Martin Vingron6, Alexander Meissner4, Tugce Aktas3, Helene Kretzmer7, Aydan Bulut-Karslioglu1,*"
Maïa Pesic,poster,The transcriptional landscape and the immune microenvironment of the testicular niche in pediatric B-ALL,"B-cell Acute Lymphoblastic Leukemia (B-ALL) is characterized by a blockage of B-cell progenitors differentiation in the bone marrow and abnormal proliferation of blast cells. Approximatively 15% of patients relapse after first line therapy, with testicular relapses being the third most common site of relapse after the bone marrow and central nervous system. Long-term event-free survival often requires surgical removal or local irradiation of the testis, greatly impacting quality of life. The underlying mechanisms behind the nesting and survival of leukemic cells in the testis remain elusive. To uncover potential targeted therapeutic avenues, we performed a multi-modal molecular analysis of a cohort of relapse pediatric ALL, exploring the specific transcriptomic landscape and immune microenvironment of testicular relapse compared to bone marrow relapses. In this project, we aim to establish for the first time a comprehensive molecular profile of testicular re-ALL. Here, we performed clustering and differential gene expression analysis on high dimensional bulk RNA-seq data generated from a cohort of 35 relapsed pediatric ALL samples, identifying distinct gene expression signatures groups stratifying the testicular relapse group. Further, we explored the spatial context of key biomarkers in patient tissues by means of imaging mass cytometry (IMC). We developed a panel of 28 markers which enabled us to quantitatively capture the immune microenvironment composition within the leukemic niche. IMC data analysis was performed using the MICCRA pipeline developed in our group, providing a new tool for automating IMC analysis. Preliminary results suggest that M2 macrophages and several T cell subtypes (T helper, cytotoxic T cells, and regulatory T cells) are the main components of the re-ALL microenvironment, which appeared heterogenous ranging from so-called immune deserts to highly infiltrated (hot) regions featuring tertiary lymphoid organs like structures. We currently investigate correlations between those unusual patterns with the clinical data and the cohort group profiling. ","Narayanareddy CG & Pesic M, Rettig A, Pfau M, Kovacsovics A, Eckert C, Yaspo ML"
Meghan Kane,poster,PhyloVade: Phylogeny-Aware Prediction of High-Risk SARS-CoV-2 Mutations,"SARS-CoV-2 continues to impose a substantial disease burden worldwide, highlighting the need for ongoing advances in predictive models to anticipate viral evolution to continually improve vaccines and other treatments. In this study, we introduce PhyloVade, a phylogeny--aware framework for predicting high-risk mutations as described by their viral fitness and potential for evading immunity. Our work is an ongoing effort, but we outline our methodology, preliminary results, and current outlook.  While numerous promising models have been published in the area we are studying, there has been little emphasis on incorporating insights from the SARS-CoV-2 phylogeny. PhyloVade enriches the sequence input with data from phylogenetic information alongside more common inputs when available such as epidemiological information and structural data from the Protein Data Bank (PDB). The phylogenetic analysis is conducted using tools developed by members of the team that notably take recombination into consideration.  First, we develop a machine learning model that predicts both viral fitness and immune escape metrics for SARS-CoV-2 sequences, focusing on the receptor binding domain (RBD). The wealth of data published on these metrics from deep mutational scanning experiments serves as the labels for our data, enabling us to structure this as supervised. Next, we utilize the first prediction model to create an additional generative model that, given a starting sequence, generates novel high-risk mutations that increase a combination of viral fitness and immune escape. Since the possibilities are vast for these potential mutations, our model aims to optimize the search process in the vast landscape. Finally, we study the performance of the generative model during key phases of the pandemic using historically significant dominant variants as the starting sequences.","Meghan Kane, Prabhav Kalaghatgi, Maryam Ghareghani, Derek Shao, Martin Vingron"
Melanie Piedavent-Salomon,poster,Comprehensive Flow Cytometry Services: From Cell Sorting to Advancing Cell Cycle Analysis,Poster presented together with Claudi Giesecke-Thiel. She already submitted the abstract. ,"Melanie Piedavent-Salomon, Erwin Weiss, Uta Marchfelder, and Claudia Giesecke-Thiel"
Merrit Romeike,poster,Screening for Regulators of Fatty Acid Metabolism in Hepatocytes,,Merrit Romeike
Michaela Reissland,,,,
Michał Małszycki,poster,,,Michał Małszycki and Laura Schmidt
Milan Antonovic,poster,Re-constructing gene regulatory landscapes by using synthetic biology ,"Gene regulatory landscapes represent extended genomic regions containing multiple cis-regulatory elements such as enhancers or promoters, which control gene expression. Our current understanding of gene regulation is heavily enhancer-centric and often attributes no function to key properties of regulatory landscapes, such as distance between enhancers, enhancer order and composition of the inter-enhancer sequence. However, exactly these features might harbor unknown layers of regulatory information. Our limited understanding of how enhancers act and interact within their regulatory landscape stems from the lack of efficient ways to manipulate large genomic regions. In this project, we plan to overcome these technical challenges by taking advantage of breakthroughs in synthetic biology to systematically re-engineer the regulatory landscape of the Prdm14 gene, composed of 5 individual enhancers distributed across 85kb. From short DNA fragments, we will assemble BACs carrying wildtype and mutant versions of the Prdm14 regulatory landscape in yeast and then integrate these into mESCs. Once successfully integrated, we will use various methods (4C, ChIP-seq, single-molecule RNA FISH, live-cell imaging) to analyze 3D genome architecture and gene expression driven by each landscape variant. By comparing these precisely altered synthetic Prdm14 landscapes, we aim to understand if and how different landscape compositions affect gene regulation.","Milan Antonovic, Andreas Magg, Alessa Ringel, Daniel Ibrahim"
Ming-Kang Lee,poster,,,
Mohammad Awawdy,,,,
Nadia Khaveh,poster,MEASURE: Multi-omics Evaluation of Animals for body Stature,"1 RG Veterinary Functional Genomics, Max Planck Institute for Molecular Genetics, Berlin, Germany 2 RG Veterinary Functional Genomics, Institute for Animal Breeding and Genetics, University of Veterinary Medicine Hanover, Hanover, Germany  3 Institute of Chemistry and Biochemistry, Department of Biology, Chemistry and Pharmacy, Freie Universität Berlin, Berlin, Germany 4 Microscopy & Cryo-Electron Microscopy Facility, Max Planck Institute for Molecular Genetics, Berlin 5 Flow Cytometry Facility, Max Planck Institute for Molecular Genetics, Berlin, Germany 6 RG Functional Histology and Cell Biology, Institute of Anatomy, University of Veterinary Medicine Hanover, Hanover, Germany 7 Clinic for Swine, Department for Clinical Veterinary Medicine, Vetsuisse Faculty, University of Bern, Bern, Switzerland 8 Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hanover, Hanover, Germany. 9 RG Development & Disease, Max Planck Institute of Molecular Genetics, Berlin & Charité Universitätsmedizin, Berlin, Germany 10 Department of Computational Molecular Biology, Max Planck Institute of Molecular Genetics, Berlin, Germany 11 RG Genomics and Bioinformatics of Infectious Diseases, Institute of Animal Breeding and Genetics, University of Veterinary Medicine Hanover, Hanover, Germany † These authors contributed equally  Body size is a trait of great biological and agricultural interest in mammals, fundamentally, determined by the growth of long bones. This process is intricately regulated at the growth plates (GP) and depends on the transformation of hyaline cartilage into bone during early development. In the MEASURE project, we are investigating this phenomenon in pigs, an interesting model due to targeted selective breeding for different body sizes. Our research uses a comprehensive multi-omics approach to unravel the genetic and epigenetic basis of body size variation. By analysing 80-day-old pigs, comparable to 4–5 years in humans, we are comparing miniature and large breeds to elucidate the dynamics of genetic variation and gene regulation associated with body size. We have identified distinct runs of homozygosity regions (ROHRs) in the pig genome that are indicative of footprints of artificial selection. Within these ROHRs, we detected key genetic variants associated with miniaturization. We identified enhancer and promoter elements using epigenomic (ATAC-Seq, ChIP-Seq) and chromatin organization (Hi-C) data from GPs to predict the impact of non-coding variants on target genes. This genomic analysis is further enriched by transcriptomic profiling to examine differential gene expression and splicing events to assess their functional effects.  Phenotypic observations at multiple levels, including gross anatomy, histology and in vitro cellular models, allow us to understand how these genetic variations manifest at different phenotypic levels. Our results to date show that approximately 300 ROHRs span the minipig genome, with less than 1% of size-associated variants located within these regions. We have identified about twenty candidate regulatory variants that may play a key role in the miniaturization of body size. These variants predominantly act as regulatory elements, influencing gene expression patterns that are critical for skeletal development. In summary, the MEASURE project not only sheds light on the complex genetics of body size in pigs, but also provides broader insights into mammalian growth and development. By integrating genomic, epigenomic and transcriptomic data with their phenotypic expressions at the cellular and tissue level, we are advancing a comprehensive understanding of the molecular mechanisms that control skeletal growth. This research has wide-ranging implications, from agricultural interests to human health and developmental biology.","Nadia Khaveh1,2†, Jan Berghöfer1,2,3†, René Buschow4, Claudia Giesecke-Thiel5, Ralph Brehm6, Alexander Grahofer7, Fanny Naccache8, Baiwei Lo9, Martin Vingron10, Klaus Jung11, Stefan Mundlos9, Julia Metzger1,2"
Natalia Bartzoka,poster,,,
Natalia Benetti,poster,Studying gene regulation by long non-coding RNAs in development and evolution,,
Nelly Kanata,poster,Dissecting the mechanisms of memory at the Xist locus,,"Eleni Kanata, Daniela Cecalev, Freya Jungen, Veronika Dimitrova, Till Schwämmle, Rutger A.F. Gjaltema, Edda G. Schulz"
Nico Alavi,poster,Accurate identification of pathogenic structural variants guided by multi-platform comparison,"Structural variants (SVs) are a common cause of human diseases and contribute largely to inter-individual variability. However, their detection remains a challenge, especially in the non-coding genome, due to low mappability and high repeat content. To investigate and potentially overcome these challenges, we analyzed a cohort of 13 individuals genotyped by combining an extensive selection of sequencing technologies, including short-read, long-read, and linked-read sequencing as well as optical mapping. This dataset in combination with the development of tools for scalable variant curation allowed us to create a comprehensive benchmark call-set. We utilzed this benchmark to evaluate how each technology and their corresponding SV callers perform across various settings. Guided by our technology comparison, we designed a machine learning method to identify true-positive variant calls using genomic annotations and alignment features. We demonstrate the method’s applicability in a clinical scenario on a limb malformation cohort. The results of this study inspired us to create a scalable version of the detection and interpretation pipeline adaptable to all monogenic diseases to assist in clinical diagnostics. This is now the main product of LUCID Genomics - a MPI-MG Spin-off.","Nico Alavi, Hossein Moeinzadeh, Jakob Hertzberg, Uirá Souto Melo, Maryam Ghareghani, Anton Kriese, Julika Wenzel, Eldar Abdullaev, Robert Schöpflin, Lion Ward Al Raei, Daniel Koile, Golnaz Tabrizi,  Malte Spielmann, Stefan Mundlos and Martin Vingron"
Nicole Eischer,poster,Disentangling BET protein-specific roles in transcription regulation,,
Norbert Mages,,,,
Pauline Hübner,,,,
Persia Akbari Omgba,poster,The impact of mTOR histone kinase activity on pluripotency exit,"Some mammalian species are able to halt embryonic development at the blastocyst stage in case of unfavorable conditions. The pluripotent cells transition into a dormant stage called diapause which is characterized by maintained pluripotency but reduced proliferation. In vitro and in vivo this stage can be induced via inhibition of mechanistic target of rapamycin (mTOR), a serine/threonine protein kinase known to coordinate and regulate cell growth, proliferation and metabolism. It is mainly present in the cytoplasm to conduct its canonical functions. Here, we found that pluripotent cells require mTOR activity to exit pluripotency, suggesting mTOR might drive differentiation. We showed that mTOR localizes into the nucleus at the blastocyst stage, binds around promoters of developmental genes and can phosphorylate H2A at T120. We also show that mTOR binding at developmental genes is lost upon PRC1 degradation. We hypothesize that mTOR regulates pluripotency via interplay with PRC-mediated repression.","Joy Cheng, Persia Akbari Omgba, Aydan Bulut-Karslioglu"
Petar Glažar,poster, , , 
Peter Arndt,,,,
Philine Guckelberger,poster,HELLS safeguards DNA methylation maintenance in human pluripotent cells ,"DNA methylation involves dynamic chromatin interactions to maintain genome integrity, including through the Helicase, Lymphoid-specific (HELLS). Here, we generated HELLS knockout human pluripotent cells, which maintained pluripotency but exhibited a global DNA methylation reduction, especially at centromeric satellite repeats. Importantly, when comparing these changes to our newly generated de novo methyltransferase knock-outs, HELLS appears to be essential for satellite repeat methylation, emphasizing its role in supporting DNMT1-mediated DNA methylation maintenance.","Philine Guckelberger, Leah Haut, Helene Kretzmer, Alexander Meissner"
Raim Tatjana,,,,
Rainer Nikolay,poster,,,
Ralf Herwig,,,,
Rita Krauß,,,,
Rosaria Tornisiello,poster,The HUSH complex safeguards essential windows of mammalian development,"Embryonic development requires proper silencing of endogenous retrotransposons and other parasitic genetic elements to ensure proper genome stability and cellular differentiation. Although classic epigenetic regulators such as DNMT1 and TRIM28 have well-characterized roles, the more recently described HUman Silencing Hub (HUSH) complex has also been implicated in epigenetic suppression in somatic and mouse embryonic stem cells.  Perturbation of all three biochemically-characterized HUSH subunits interferes with ectopic transgene and ERV suppression, and transgenic knockouts cause seemingly pleiotropic mid-gestation embryonic lethal phenotypes. Nonetheless, the physiological role of HUSH during early embryonic development has not been well characterized, nor has it been effectively integrated into more canonical repressive pathways. Here, we sought to investigate the developmental function of the HUSH complex in mouse embryos following implantation through to the early stages of organogenesis. Using Cas9-based genetic disruption in mouse zygotes, we investigated the effects of HUSH complex perturbation using a combination of epigenomic, transcriptional, and single-cell analyses. We find that HUSH knockout embryos show a highly specific and distinct effect on the expression patterns, DNA methylation, and chromatin accessibility of certain transposable elements (TEs) such as ERV and LINE1 retrotransposon families as well as deregulation of uncharacterized genes expressed during zygotic genome activation. Consistent with these findings, single-cell RNA sequencing data of HUSH-deficient embryos confirm unique morphological and developmental abnormalities that emerge between implantation and organogenesis and are distinct from the phenotypes of other core epigenetic complexes. By integrating these analyses, we establish HUSH as a key component of epigenetic suppression that has expanded beyond its canonical role in retrotransposon regulation to oversee essential windows of mammalian development.","Rosaria Tornisiello, JoAnne Villagrana, Tien-Chi Jason Hou, Kevin Tse, Helene Kretzmer & Zachary D Smith"
Sara Hetzel,poster,Direct conversion from somatic to cancer-like epigenome,"Mammalian somatic cells share a canonical bimodal pattern of DNA methylation. In contrast, extraembryonic tissues and human primary tumors display a highly divergent non-canonical landscape characterized by intermediate global methylation that encroaches into developmental gene promoters. Despite impressive advances in mapping DNA methylation across many primary tumors, there is currently no system that is able to model the transition between canonical and non-canonical states. Here, we report that single transcription factors can directly induce a cancer-like epigenome from the canonical somatic landscape of embryonic stem cells. The onset of this robust, homogeneous, and highly reproducible global reconfiguration is detectable within 24 hours of transcription factor induction and is essentially complete within days. CpG islands that gain methylation show loss of both H3K4 methylation and chromatin accessibility, with persistent repression of associated genes. Our data define a developmental window where this cellular state can be directly induced and demonstrate that a cancer-like DNA methylation landscape can be rapidly established in a fully controlled and simultaneous fashion without oncogenic mutations or extensive proliferation. A similarly regulated process, rather than the often-assumed random deterioration, may then also be responsible for the consistent emergence of these alterations in human cancer.","Chuck Haggerty, Sara Hetzel, Georg Pohl, Atsuhiro Taguchi, Daniel Kehlenbeck, Zachary D. Smith, Helene Kretzmer, Alexander Meissner"
Sarah Doerdrechter-Kinkley,,,,
Silvia Aldrovandi,poster,Evolution and functional dissection of the bat Hoxd locus,"During evolution changes in genomes can alter the regulation and expression of developmental genes, which is thought to originate the astonishing morphological variety we observe in the animal kingdom. However, the identification of meaningful regulatory mutations involved in the evolution of specific traits is still complicated. A paradigm of this challenge is the bat wing. The elongated digits (II-V) and the patagium are the most evident adaptations to powered flight, but the molecular and developmental mechanisms responsible of this are not fully understood yet. For this reason, we generated a comprehensive dataset of three critical developmental stages for bat (Carollia perspicillata) and mouse (Mus musculus), including genomic, transcriptomic and epigenomic data. Among the candidate loci, we found several members of the Hoxd cluster showing different expression between forelimb and hindlimb, and between bat and mouse, confirming previous findings. We observed several predicted regulatory changes which may be responsible of this, including modified CTCF peaks, new lncRNAs and accelerated regions. Functional studies will allow us to test this hypotheses and possibly gain a better understanding of limb development across species. ","S. Aldrovandi, M. Schindler, C. Feregrino, B. Lo, T. Zehnder, S. Haas, A. Ringel, A. Morales, M. Hiller, M. Vingron, D. Lupiáñez, F. Martinez Real, S. Mundlos"
Sonia Paturej,,,,
Stefan Börno,,,,
Stefan Haas,,Comparative analysis of diverse genomes for discovery of key regulatory genes,"During evolution large-scale genomic changes (e.g. chromosomal rearrangements, or deletions/insertions) potentially break or recombine gene regulatory units. Such events might be linked to the development and establishment of clade-specific phenotypic features. Here, we use pair-wise genome comparisons of a variety of species including reptiles, marsupials, whales, bats, an representatives of other mammalian clades to unravel clade-specific genomic changes on megabase scale. Often only few such events are detected per clade. Nevertheless, these genomic events are sufficient to recover a surprisingly robust phylogenetic tree. Preliminary analysis of genes in closer vicinity to these genomic breakpoints uncovered genes potentially linked to a respective clade-specific phenotype.","Stefan Haas, Frany Martinez-Real, Magdalena Schindler, Stefan Mundlos"
Stefan Mundlos,,,,
Susanne Freier,,,,
Sven Klages,,,,
Sándor Fülöp,,,,
Thomas Silvers,poster,,,
Thorsten Mielke,poster,TBA,TBA,"Beatrix Fauler, René Buschow, Rita Krauss, Thorsten Mielke"
